,gene,label,ST
2448,EWSR1,OPCs_like_MYC6,0.0015629882
2508,RANBP1,OPCs_like_MYC6,0.0015344385
305,COL4A2,Fibroblast-like,0.0015293513
102,B2M,BMDM,0.0015265085
2428,SRSF1,OPCs_like_MYC6,0.0014761058
880,TIA1,IPCs_like_SHHa2,0.0014593601
2317,TTC3,OPCs_like_MYC5,0.0014546496
935,FZD3,IPCs_like_SHHa3,0.0014538784
1351,EDNRB,NRPs_like_SHHb2,0.0014358045
304,IGFBP7,Fibroblast-like,0.0014292815
383,XRCC5,GRPs_like_TYR1,0.0014287666
2507,TPM1,OPCs_like_MYC6,0.0014258318
830,SMARCA4,IPCs_like_SHHa2,0.0014221555
841,PXDN,IPCs_like_SHHa2,0.0014211545
637,PRRC2B,GRPs_like_TYR3,0.0014106679
1515,CDH2,NRPs_like_SHHb4,0.0014084995
1941,KHDRBS1,OPCs_like_MYC2,0.0014082954
2020,DCLK2,OPCs_like_MYC2,0.0014030137
2420,SERBP1,OPCs_like_MYC6,0.0013990481
2433,EIF4B,OPCs_like_MYC6,0.0013887198
1434,TFRC,NRPs_like_SHHb3,0.0013738405
2121,GOLGA8A,OPCs_like_MYC3,0.0013726702
1797,RAD21,OPCs_like_MYC1,0.0013700465
1056,PAM,ImmatureNeurons_like_SHHa3,0.0013434497
388,CBX5,GRPs_like_TYR1,0.0013398147
1428,IGF1R,NRPs_like_SHHb3,0.0013394486
1400,SLC2A3,NRPs_like_SHHb3,0.0013375066
1067,BASP1,ImmatureNeurons_like_SHHa3,0.0013354907
2251,ZIC1,OPCs_like_MYC4,0.0013329312
2574,SF1,OPCs_like_MYC7,0.0013247756
2093,NR2F1,OPCs_like_MYC3,0.0013132043
2669,HSPE1,OPCs_like_MYC7,0.0013125818
653,FAT1,GRPs_like_TYR3,0.0013083292
1984,HMGA2,OPCs_like_MYC2,0.0013046503
1296,USP22,NRPs_like_SHHb2,0.0012864416
2430,RHOA,OPCs_like_MYC6,0.0012682844
2071,SRSF11,OPCs_like_MYC3,0.0012612327
1603,ROBO1,NRPs_like_SHHb4,0.0012535021
641,CTNNA1,GRPs_like_TYR3,0.0012466027
2012,CD99,OPCs_like_MYC2,0.0012456737
940,FOXK1,IPCs_like_SHHa3,0.0012449372
1850,PGK1,OPCs_like_MYC1,0.0012424134
2642,SRSF7,OPCs_like_MYC7,0.0012386175
2672,SEM1,OPCs_like_MYC7,0.0012365752
780,SOX2,IPCs_like_SHHa2,0.0012354347
